Dagsetning,Land,Fjöldi sem nýtur tímabundinnar verndar,Nýjar veitingar á tímabundinni vernd,Nýir umsækjendur um hæli,Umsækjendur um hæli í bið eftir niðurstöðu,Ákvarðanir teknar um hæli,Einstaklingum veitt hæli,Hlutfall jákvæðra ákvarðana
2022-03-01,Belgía,4782.451245792012,4782.451245792012,507.9268159556504,5647.6409731480835,333.70601348260504,146.35349344686196,0.43608296986933176
2022-04-01,Belgía,6773.560451500929,1991.1092057089172,414.10019275957995,5671.097628947101,352.15056334166167,161.49005338554426,0.45858240819812124
2022-05-01,Belgía,8087.133176245914,1313.5727247449856,458.3069671500362,5788.380907942189,358.76654318241026,161.1893270291466,0.4496181293134335
2022-06-01,Belgía,8867.518071097846,780.3848948519317,525.9703973395101,5881.305352069066,365.3825230231588,160.8886006727489,0.44065385042874583
2022-07-01,Belgía,9436.79306375862,569.2749926607733,544.0139787233697,6104.143582159734,371.99850286390733,160.58787431635128,0.4316895715440582
2022-08-01,Belgía,9997.046265727464,560.2532019688434,633.3297065734753,6484.863149359174,389.34038941617246,179.7341190070024,0.45918784675041224
2022-09-01,Belgía,10389.49416082641,396.9587904449133,720.8410762851947,6797.0171072999465,406.68227596843764,198.88036369765348,0.4866861219567665
2022-10-01,Belgía,10202.743093503463,378.01302999186055,759.634776260493,7163.301809392298,424.0241625207028,218.0266083883046,0.5141843971631206
2022-11-01,Belgía,11092.291655727748,346.4367625701061,605.3621554284928,7424.03156038907,413.79946640318235,200.98544819243713,0.4842269069772486
2022-12-01,Belgía,11405.347792737712,313.05613700996565,468.230936911159,7422.227202250685,403.57477028566177,183.94428799656967,0.45426941679137656
2023-01-01,Belgía,11280.84708118908,281.4798695882112,500.7093834021065,7481.771020817422,393.3500741681413,166.90312780070215,0.4243119266055046
2023-02-01,Belgía,11478.424297342342,265.2406463427375,431.2415950742467,7405.085799936018,409.9902658888119,181.03726655139226,0.44026946169901127
2023-03-01,Belgía,11648.033962350624,246.29488588968482,473.64401132631696,7329.302758123807,426.6304576094825,195.17140530208238,0.45622699679251777
2023-04-01,Belgía,11804.11094132101,186.75106732294782,368.9912392999307,7230.965239581771,443.27064933015316,209.30554405277243,0.47218453188602444
2023-05-01,Belgía,11990.862008643959,212.91426032954436,487.1766973642117,7299.53084884044,430.13893176745523,197.47697403446443,0.45824960353583066
